ZIP code,City,State,Abbreviation,OpenEI
36501,Alma,Alabama,AL,NO
36276,Almond,Alabama,AL,YES
35014,Alpine,Alabama,AL,YES
35015,Alton,Alabama,AL,YES
35952,Altoona,Alabama,AL,YES
36420,Andalusia,Alabama,AL,YES
36421,Andalusia,Alabama,AL,YES
35610,Anderson,Alabama,AL,YES
36721,Annemanie,Alabama,AL,YES
36201,Anniston,Alabama,AL,YES
36202,Anniston,Alabama,AL,YES
36203,Anniston,Alabama,AL,YES
36204,Anniston,Alabama,AL,YES
36205,Anniston,Alabama,AL,YES
36206,Anniston,Alabama,AL,YES
36207,Anniston,Alabama,AL,YES
36210,Anniston,Alabama,AL,NO
36558,Aquilla,Alabama,AL,YES
35016,Arab,Alabama,AL,YES
35739,Ardmore,Alabama,AL,YES
36311,Ariton,Alabama,AL,YES
35033,Arkadelphia,Alabama,AL,YES
35540,Arley,Alabama,AL,YES
35541,Arley,Alabama,AL,YES
36722,Arlington,Alabama,AL,YES
36089,Armstrong,Alabama,AL,YES
36312,Ashford,Alabama,AL,YES
36251,Ashland,Alabama,AL,YES
35953,Ashville,Alabama,AL,YES
35611,Athens,Alabama,AL,YES
35612,Athens,Alabama,AL,YES
35613,Athens,Alabama,AL,YES
35614,Athens,Alabama,AL,YES
36502,Atmore,Alabama,AL,YES
36503,Atmore,Alabama,AL,YES
36504,Atmore,Alabama,AL,YES
35954,Attalla,Alabama,AL,YES
35571,Atwood,Alabama,AL,YES
36830,Auburn,Alabama,AL,YES
36831,Auburn,Alabama,AL,YES
36832,Auburn,Alabama,AL,YES
36849,Auburn,Alabama,AL,YES
36849,Auburn University,Alabama,AL,YES
36849,Auburn Unvrsty,Alabama,AL,YES
36003,Autaugaville,Alabama,AL,YES
35222,Avondale,Alabama,AL,YES
36505,Axis,Alabama,AL,YES
35019,Baileyton,Alabama,AL,YES
36027,Bakerhill,Alabama,AL,YES
36005,Banks,Alabama,AL,YES
36061,Banks,Alabama,AL,YES
35542,Bankston,Alabama,AL,YES
36266,Barfield,Alabama,AL,YES
36558,Barlow,Alabama,AL,YES
35550,Barney,Alabama,AL,YES
36141,Bass Anglers Sports Soc,Alabama,AL,YES
36585,Bassetts Creek,Alabama,AL,YES
36316,Battens Crossroads,Alabama,AL,YES
36507,Bay Minette,Alabama,AL,YES
36509,Bayou La Batre,Alabama,AL,YES
36509,Bayou Labatre,Alabama,AL,YES
35559,Bazemore,Alabama,AL,YES
35543,Bear Creek,Alabama,AL,YES
36425,Beatrice,Alabama,AL,YES
35544,Beaverton,Alabama,AL,YES
35545,Belk,Alabama,AL,YES
36567,Bell Fountain,Alabama,AL,YES
36901,Bellamy,Alabama,AL,YES
35615,Belle Mina,Alabama,AL,YES
36313,Bellwood,Alabama,AL,YES
36785,Benton,Alabama,AL,YES
35546,Berry,Alabama,AL,YES
36353,Bertha,Alabama,AL,YES
36374,Bertha,Alabama,AL,YES
35022,Bess,Alabama,AL,YES
35020,Bessemer,Alabama,AL,YES
35021,Bessemer,Alabama,AL,YES
35022,Bessemer,Alabama,AL,YES
35023,Bessemer,Alabama,AL,YES
35570,Bexar,Alabama,AL,YES
35229,Bham,Alabama,AL,YES
35238,Bham,Alabama,AL,YES
35246,Bham,Alabama,AL,YES
35254,Bham,Alabama,AL,YES
35260,Bham,Alabama,AL,YES
35261,Bham,Alabama,AL,YES
35266,Bham,Alabama,AL,YES
35282,Bham,Alabama,AL,YES
35283,Bham,Alabama,AL,YES
35285,Bham,Alabama,AL,YES
35287,Bham,Alabama,AL,YES
35288,Bham,Alabama,AL,YES
35290,Bham,Alabama,AL,YES
35291,Bham,Alabama,AL,YES
35292,Bham,Alabama,AL,YES
35293,Bham,Alabama,AL,YES
35294,Bham,Alabama,AL,YES
35295,Bham,Alabama,AL,YES
35296,Bham,Alabama,AL,YES
35297,Bham,Alabama,AL,YES
35298,Bham,Alabama,AL,YES
35763,Big Cove,Alabama,AL,YES
36558,Bigbee,Alabama,AL,YES
36006,Billingsley,Alabama,AL,YES
35201,Birmingham,Alabama,AL,YES
35202,Birmingham,Alabama,AL,YES
35203,Birmingham,Alabama,AL,YES
35204,Birmingham,Alabama,AL,YES
35205,Birmingham,Alabama,AL,YES
35206,Birmingham,Alabama,AL,YES
35207,Birmingham,Alabama,AL,YES
35208,Birmingham,Alabama,AL,YES
35209,Birmingham,Alabama,AL,YES
35210,Birmingham,Alabama,AL,YES
35211,Birmingham,Alabama,AL,YES
35212,Birmingham,Alabama,AL,YES
35213,Birmingham,Alabama,AL,YES
35214,Birmingham,Alabama,AL,YES
35215,Birmingham,Alabama,AL,YES
35216,Birmingham,Alabama,AL,YES
35217,Birmingham,Alabama,AL,YES
35218,Birmingham,Alabama,AL,YES
35219,Birmingham,Alabama,AL,YES
35220,Birmingham,Alabama,AL,YES
35221,Birmingham,Alabama,AL,YES
35222,Birmingham,Alabama,AL,YES
35223,Birmingham,Alabama,AL,YES
35224,Birmingham,Alabama,AL,YES
35226,Birmingham,Alabama,AL,YES
35228,Birmingham,Alabama,AL,YES
35229,Birmingham,Alabama,AL,YES
35231,Birmingham,Alabama,AL,YES
35232,Birmingham,Alabama,AL,YES
35233,Birmingham,Alabama,AL,YES
35234,Birmingham,Alabama,AL,YES
35235,Birmingham,Alabama,AL,YES
35236,Birmingham,Alabama,AL,YES
35237,Birmingham,Alabama,AL,YES
35238,Birmingham,Alabama,AL,YES
35242,Birmingham,Alabama,AL,YES
35243,Birmingham,Alabama,AL,YES
35244,Birmingham,Alabama,AL,YES
35246,Birmingham,Alabama,AL,YES
35249,Birmingham,Alabama,AL,YES
35253,Birmingham,Alabama,AL,YES
35254,Birmingham,Alabama,AL,YES
35255,Birmingham,Alabama,AL,YES
35259,Birmingham,Alabama,AL,YES
35260,Birmingham,Alabama,AL,YES
35261,Birmingham,Alabama,AL,YES
35266,Birmingham,Alabama,AL,YES
35282,Birmingham,Alabama,AL,YES
35283,Birmingham,Alabama,AL,YES
35285,Birmingham,Alabama,AL,YES
35287,Birmingham,Alabama,AL,YES
35288,Birmingham,Alabama,AL,YES
35290,Birmingham,Alabama,AL,YES
35291,Birmingham,Alabama,AL,YES
35292,Birmingham,Alabama,AL,YES
35293,Birmingham,Alabama,AL,YES
35294,Birmingham,Alabama,AL,YES
35295,Birmingham,Alabama,AL,YES
35296,Birmingham,Alabama,AL,YES
35297,Birmingham,Alabama,AL,YES
35298,Birmingham,Alabama,AL,YES
35254,Birmingham Southern College,Alabama,AL,YES
36314,Black,Alabama,AL,YES
36919,Bladon Springs,Alabama,AL,YES
35073,Blossburg,Alabama,AL,YES
35079,Blount Springs,Alabama,AL,YES
35031,Blountsville,Alabama,AL,YES
35298,Blue Cross-Shield,Alabama,AL,YES
36204,Blue Mountain,Alabama,AL,YES
36017,Blue Springs,Alabama,AL,YES
35555,Bluff,Alabama,AL,YES
35226,Bluff Park,Alabama,AL,YES
35244,Bluff Park,Alabama,AL,YES
36251,Bluff Spring,Alabama,AL,YES
35956,Boaz,Alabama,AL,YES
35957,Boaz,Alabama,AL,YES
35443,Boligee,Alabama,AL,YES
36919,Bolinger,Alabama,AL,YES
36033,Bolling,Alabama,AL,YES
35032,Bon Air,Alabama,AL,YES
36511,Bon Secour,Alabama,AL,YES
36008,Booth,Alabama,AL,YES
36272,Borden Springs,Alabama,AL,YES
36723,Boykin,Alabama,AL,YES
36483,Bradley,Alabama,AL,YES
35120,Branchville,Alabama,AL,YES
36009,Brantley,Alabama,AL,YES
36272,Brdn Sprngs,Alabama,AL,YES
35033,Bremen,Alabama,AL,YES
35034,Brent,Alabama,AL,YES
36426,Brewton,Alabama,AL,YES
36427,Brewton,Alabama,AL,YES
35740,Bridgeport,Alabama,AL,YES
35035,Brierfield,Alabama,AL,YES
35020,Brighton,Alabama,AL,YES
35548,Brilliant,Alabama,AL,YES
36507,Bromley,Alabama,AL,YES
36615,Brookley Field,Alabama,AL,YES
36429,Brooklyn,Alabama,AL,YES
35036,Brookside,Alabama,AL,YES
35444,Brookwood,Alabama,AL,YES
35741,Brownsboro,Alabama,AL,YES
36010,Brundidge,Alabama,AL,YES
35958,Bryant,Alabama,AL,YES
36512,Bucks,Alabama,AL,YES
36425,Buena Vista,Alabama,AL,YES
35446,Buhl,Alabama,AL,YES
36752,Burkville,Alabama,AL,YES
36401,Burnt Corn,Alabama,AL,YES
35593,Burntout,Alabama,AL,YES
35038,Burnwell,Alabama,AL,YES
35282,Business Reply Mail,Alabama,AL,YES
36904,Butler,Alabama,AL,YES
36253,Bynum,Alabama,AL,YES
35243,Cahaba Heights,Alabama,AL,YES
35040,Calera,Alabama,AL,YES
35283,Caller Boxes,Alabama,AL,YES
36513,Calvert,Alabama,AL,YES
36726,Camden,Alabama,AL,YES
36850,Camp Hill,Alabama,AL,YES
36727,Campbell,Alabama,AL,YES
36266,Campbells Crossroads,Alabama,AL,YES
36502,Canoe,Alabama,AL,YES
35742,Capshaw,Alabama,AL,YES
35549,Carbon Hill,Alabama,AL,YES
35041,Cardiff,Alabama,AL,NO
36515,Carlton,Alabama,AL,YES
36251,Carr Mill,Alabama,AL,YES
35447,Carrollton,Alabama,AL,YES
36548,Carson,Alabama,AL,YES
36432,Castleberry,Alabama,AL,YES
36728,Catherine,Alabama,AL,YES
36013,Cecil,Alabama,AL,YES
35959,Cedar Bluff,Alabama,AL,YES
35215,Center Point,Alabama,AL,YES
35220,Center Point,Alabama,AL,YES
35235,Center Point,Alabama,AL,YES
35220,Centerpoint,Alabama,AL,YES
35235,Centerpoint,Alabama,AL,YES
36024,Central,Alabama,AL,YES
35960,Centre,Alabama,AL,YES
35042,Centreville,Alabama,AL,YES
36751,Chance,Alabama,AL,YES
36316,Chancellor,Alabama,AL,YES
36015,Chapman,Alabama,AL,YES
36560,Chastang,Alabama,AL,YES
36518,Chatom,Alabama,AL,YES
35043,Chelsea,Alabama,AL,YES
35616,Cherokee,Alabama,AL,YES
36346,Chestnut Grove,Alabama,AL,YES
36611,Chickasaw,Alabama,AL,YES
36671,Chickasaw,Alabama,AL,YES
35044,Childersburg,Alabama,AL,YES
36110,Chisolm,Alabama,AL,YES
36254,Choccolocco,Alabama,AL,YES
36258,Christiana,Alabama,AL,YES
36480,Chrysler,Alabama,AL,YES
36264,Chulafinnee,Alabama,AL,YES
36521,Chunchula,Alabama,AL,YES
36522,Citronelle,Alabama,AL,YES
36470,Claiborne,Alabama,AL,YES
35045,Clanton,Alabama,AL,YES
35046,Clanton,Alabama,AL,YES
35048,Clay,Alabama,AL,YES
36322,Clayhatchee,Alabama,AL,YES
36016,Clayton,Alabama,AL,YES
35049,Cleveland,Alabama,AL,YES
35448,Clinton,Alabama,AL,YES
36017,Clio,Alabama,AL,YES
36317,Clopton,Alabama,AL,YES
35617,Cloverdale,Alabama,AL,YES
35182,Coal City,Alabama,AL,YES
35481,Coal Fire,Alabama,AL,YES
35068,Coalburg,Alabama,AL,YES
35449,Coaling,Alabama,AL,YES
35453,Coaling,Alabama,AL,YES
35470,Coatopa,Alabama,AL,YES
35442,Cochrane,Alabama,AL,YES
36523,Coden,Alabama,AL,YES
36318,Coffee Springs,Alabama,AL,YES
36524,Coffeeville,Alabama,AL,YES
35452,Coker,Alabama,AL,YES
35961,Collinsville,Alabama,AL,YES
36142,Colonial Mortgage,Alabama,AL,YES
36319,Columbia,Alabama,AL,YES
35051,Columbiana,Alabama,AL,YES
36053,Comer,Alabama,AL,YES
35296,Compass Bank,Alabama,AL,YES
35023,Concord,Alabama,AL,YES
35052,Cook Springs,Alabama,AL,YES
35044,Coosa Pines,Alabama,AL,YES
